Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file method - Robot Class,Chrome 128.0.0.0,,,19-09-2024 09:12:51,19-09-2024 09:14:08,1m - 16.401s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/Upload a file using Robot Class,Chrome 128.0.0.0,,sanity,19-09-2024 09:12:52,19-09-2024 09:14:08,1m - 15.784s,PASSED
Start listener action : enableSauceLabs,Chrome 128.0.0.0,,,19-09-2024 09:12:52,19-09-2024 09:12:52,0.041s,PASSED
"openBrowser(""https://www.igniteui.com/file-upload/multiple-upload"")",Chrome 128.0.0.0,,,19-09-2024 09:12:53,19-09-2024 09:13:33,40.415s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,19-09-2024 09:13:33,19-09-2024 09:13:34,0.730s,PASSED
"clickOffset(findTestObject(""OR File Upload/Page_Multiple Uploads Sample/input_Upload multiple_File""), 0, 0)",Chrome 128.0.0.0,,,19-09-2024 09:13:34,19-09-2024 09:13:37,3.086s,PASSED
"callTestCase(findTestCase(""TC File Upload - Kool Session/File Uplaod by Robot Class""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,19-09-2024 09:13:37,19-09-2024 09:13:51,13.852s,PASSED
delay(10),Chrome 128.0.0.0,,,19-09-2024 09:13:51,19-09-2024 09:14:01,10.033s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,19-09-2024 09:14:01,19-09-2024 09:14:01,0.386s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 128.0.0.0,,,19-09-2024 09:14:01,19-09-2024 09:14:01,0.009s,PASSED
Video,Chrome 128.0.0.0,,,19-09-2024 09:14:08,19-09-2024 09:14:08,0.008s,PASSED
