Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file Method - Drag and Drop,Chrome 128.0.0.0,,,18-09-2024 19:16:59,18-09-2024 19:17:14,15.327s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/Upload a file using Upload file with Drag and Drop,Chrome 128.0.0.0,,,18-09-2024 19:16:59,18-09-2024 19:17:14,15.244s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,18-09-2024 19:16:59,18-09-2024 19:17:02,2.108s,PASSED
"navigateToUrl(""https://imgur.com/upload?beta"")",Chrome 128.0.0.0,,,18-09-2024 19:17:02,18-09-2024 19:17:04,2.696s,PASSED
driver = getWebDriver(),Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.011s,PASSED
wrappedDriver = driver.getWrappedDriver(),Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.015s,PASSED
if (class == com.kms.katalon.selenium.driver.CRemoteWebDriver),Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.018s,PASSED
"filePath = getProjectDir() + ""/Katalon-Devices.JPG""",Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.020s,PASSED
"filePath1 = getProjectDir() + ""/Katalon-Devices 1.JPG""",Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.003s,PASSED
"filePath2 = getProjectDir() + ""/Katalon-Devices 2.JPG""",Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.003s,PASSED
"concatenatedFilePath = filePath + ""
"" + filePath1 + ""
"" + filePath2",Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.003s,PASSED
uploadFileWithDragAndDrop(concatenatedFilePath),Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:04,0.105s,PASSED
delay(10),Chrome 128.0.0.0,,,18-09-2024 19:17:04,18-09-2024 19:17:14,10.027s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,18-09-2024 19:17:14,18-09-2024 19:17:14,0.004s,NOT_RUN
