Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file method - Robot Class,Chrome 128.0.0.0,,,19-09-2024 09:09:19,19-09-2024 09:10:32,1m - 12.274s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/Upload a file using Robot Class,Chrome 128.0.0.0,,sanity,19-09-2024 09:09:20,19-09-2024 09:10:32,1m - 11.880s,PASSED
Start listener action : enableSauceLabs,Chrome 128.0.0.0,,,19-09-2024 09:09:20,19-09-2024 09:09:20,0.019s,PASSED
"openBrowser(""https://www.igniteui.com/file-upload/multiple-upload"")",Chrome 128.0.0.0,,,19-09-2024 09:09:20,19-09-2024 09:10:00,39.612s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,19-09-2024 09:10:00,19-09-2024 09:10:01,0.848s,PASSED
"clickOffset(findTestObject(""OR File Upload/Page_Multiple Uploads Sample/input_Upload multiple_File""), 0, 0)",Chrome 128.0.0.0,,,19-09-2024 09:10:01,19-09-2024 09:10:03,1.932s,PASSED
"callTestCase(findTestCase(""TC File Upload - Kool Session/File Uplaod by Robot Class""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,19-09-2024 09:10:03,19-09-2024 09:10:17,14.287s,PASSED
delay(10),Chrome 128.0.0.0,,,19-09-2024 09:10:17,19-09-2024 09:10:27,10.034s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,19-09-2024 09:10:27,19-09-2024 09:10:27,0.232s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 128.0.0.0,,,19-09-2024 09:10:27,19-09-2024 09:10:27,0.005s,PASSED
Video,Chrome 128.0.0.0,,,19-09-2024 09:10:32,19-09-2024 09:10:32,0.004s,PASSED
